Clinic;Address;Operator;
ROLAND CONSULT Stasche & Finger GmbH;;;
Patient;Sex;Age;DateOfBirth;TestDate;PatId
sample_photopic_recoring, Psammomys;F;;2020-11-24;01/01/2009 01:47:22;
Class;RETIport;
Chan;Name;Range(+/-[V]);LowCut[Hz];HighCut[Hz];StimCode;StimDev;StimFreq;
1;R-1 photopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
2;L-2 photopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
3;R-1 photopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
4;L-2 photopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
5;R-1 photopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
6;L-2 photopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
Plots of Group;2;photopic single flash 2
Length;512;Dist[s];4.89237E-4;Channels;6
RAW DATA SECTION:;(v2: vertically stored)
Index;Time[s];Channel Values[V]
;;1;2;3;4;5;6;
;;R-1 photopic 1.0;L-2 photopic 1.0;R-1 photopic 3.0;L-2 photopic 3.0;R-1 photopic 10.0;L-2 photopic 10.0;
84;4.061E-0002;0.000E+0000;0.000E+0000;9.728E-0005;7.843E-0005;8.380E-0005;6.333E-0005;
85;4.110E-0002;0.000E+0000;0.000E+0000;9.228E-0005;7.788E-0005;7.379E-0005;6.003E-0005;
86;4.159E-0002;0.000E+0000;0.000E+0000;8.697E-0005;7.520E-0005;6.543E-0005;5.820E-0005;
87;4.207E-0002;0.000E+0000;0.000E+0000;8.263E-0005;7.202E-0005;6.006E-0005;5.674E-0005;
88;4.256E-0002;0.000E+0000;0.000E+0000;8.111E-0005;7.056E-0005;5.750E-0005;5.515E-0005;
89;4.305E-0002;0.000E+0000;0.000E+0000;8.294E-0005;7.038E-0005;5.756E-0005;5.308E-0005;
90;4.354E-0002;0.000E+0000;0.000E+0000;8.715E-0005;7.080E-0005;6.073E-0005;5.094E-0005;
91;4.403E-0002;0.000E+0000;0.000E+0000;9.344E-0005;7.141E-0005;6.781E-0005;4.966E-0005;
92;4.452E-0002;0.000E+0000;0.000E+0000;1.002E-0004;7.135E-0005;7.947E-0005;5.070E-0005;
93;4.501E-0002;0.000E+0000;0.000E+0000;1.063E-0004;7.062E-0005;9.509E-0005;5.369E-0005;
94;4.550E-0002;0.000E+0000;0.000E+0000;1.116E-0004;6.952E-0005;1.130E-0004;5.790E-0005;
95;4.599E-0002;0.000E+0000;0.000E+0000;1.154E-0004;6.793E-0005;1.325E-0004;6.376E-0005;
96;4.648E-0002;0.000E+0000;0.000E+0000;1.168E-0004;6.562E-0005;1.538E-0004;7.133E-0005;
97;4.697E-0002;0.000E+0000;0.000E+0000;1.157E-0004;6.256E-0005;1.752E-0004;7.969E-0005;
98;4.746E-0002;0.000E+0000;0.000E+0000;1.147E-0004;5.988E-0005;1.964E-0004;9.037E-0005;
99;4.795E-0002;0.000E+0000;0.000E+0000;1.145E-0004;5.896E-0005;2.155E-0004;1.019E-0004;
100;4.843E-0002;0.000E+0000;0.000E+0000;1.153E-0004;5.921E-0005;2.308E-0004;1.124E-0004;
101;4.892E-0002;0.000E+0000;0.000E+0000;1.158E-0004;5.994E-0005;2.407E-0004;1.213E-0004;
102;4.941E-0002;0.000E+0000;0.000E+0000;1.143E-0004;6.140E-0005;2.462E-0004;1.272E-0004;
103;4.990E-0002;0.000E+0000;0.000E+0000;1.115E-0004;6.183E-0005;2.469E-0004;1.300E-0004;
104;5.039E-0002;0.000E+0000;0.000E+0000;1.079E-0004;6.220E-0005;2.427E-0004;1.310E-0004;
105;5.088E-0002;0.000E+0000;0.000E+0000;1.047E-0004;6.250E-0005;2.342E-0004;1.307E-0004;
106;5.137E-0002;0.000E+0000;0.000E+0000;1.012E-0004;6.238E-0005;2.233E-0004;1.290E-0004;
107;5.186E-0002;0.000E+0000;0.000E+0000;9.820E-0005;6.226E-0005;2.105E-0004;1.250E-0004;
108;5.235E-0002;0.000E+0000;0.000E+0000;9.533E-0005;6.220E-0005;1.973E-0004;1.191E-0004;
109;5.284E-0002;0.000E+0000;0.000E+0000;9.197E-0005;6.171E-0005;1.834E-0004;1.114E-0004;
110;5.333E-0002;0.000E+0000;0.000E+0000;8.831E-0005;6.061E-0005;1.683E-0004;1.016E-0004;
111;5.382E-0002;0.000E+0000;0.000E+0000;8.404E-0005;5.799E-0005;1.539E-0004;9.128E-0005;
112;5.431E-0002;0.000E+0000;0.000E+0000;8.050E-0005;5.634E-0005;1.396E-0004;8.109E-0005;
113;5.479E-0002;0.000E+0000;0.000E+0000;7.787E-0005;5.542E-0005;1.246E-0004;6.840E-0005;
114;5.528E-0002;0.000E+0000;0.000E+0000;7.622E-0005;5.493E-0005;1.108E-0004;5.649E-0005;
115;5.577E-0002;0.000E+0000;0.000E+0000;7.427E-0005;5.396E-0005;9.857E-0005;4.594E-0005;
116;5.626E-0002;0.000E+0000;0.000E+0000;7.220E-0005;5.231E-0005;8.759E-0005;3.800E-0005;
117;5.675E-0002;0.000E+0000;0.000E+0000;7.012E-0005;4.987E-0005;7.788E-0005;3.348E-0005;
118;5.724E-0002;0.000E+0000;0.000E+0000;6.792E-0005;4.718E-0005;7.019E-0005;3.153E-0005;
119;5.773E-0002;0.000E+0000;0.000E+0000;6.621E-0005;4.468E-0005;6.354E-0005;3.007E-0005;
120;5.822E-0002;0.000E+0000;0.000E+0000;6.518E-0005;4.169E-0005;5.805E-0005;2.946E-0005;
121;5.871E-0002;0.000E+0000;0.000E+0000;6.353E-0005;3.687E-0005;5.347E-0005;2.848E-0005;
122;5.920E-0002;0.000E+0000;0.000E+0000;6.255E-0005;3.211E-0005;4.852E-0005;2.738E-0005;
123;5.969E-0002;0.000E+0000;0.000E+0000;6.200E-0005;2.863E-0005;4.279E-0005;2.732E-0005;
124;6.018E-0002;0.000E+0000;0.000E+0000;6.115E-0005;2.533E-0005;3.693E-0005;2.842E-0005;
125;6.067E-0002;0.000E+0000;0.000E+0000;6.023E-0005;2.252E-0005;3.272E-0005;3.074E-0005;
126;6.115E-0002;0.000E+0000;0.000E+0000;5.877E-0005;2.021E-0005;3.034E-0005;3.355E-0005;
127;6.164E-0002;0.000E+0000;0.000E+0000;5.651E-0005;1.715E-0005;2.857E-0005;3.550E-0005;
